OBJECTID,RoadWidth,sidewalk_width,public_transport,has_utilities,people_flow,tree_density,cluster_id
2583,0.0927707947,0.1868002402,1.0,1,0.0174013574,0.0,2
2586,0.0811313537,0.2009428383,0.33333333330000003,0,0.0061176204,0.0,1
2588,0.0627893744,0.0,1.0,1,0.17074909870000002,0.0,2
2589,0.2141668279,0.1147122379,0.6666666667000001,1,0.2842164587,0.16923283290000002,3
2590,0.258997384,0.2349243759,1.0,1,0.43715846150000004,0.0,2
2591,0.061771049700000004,0.0,0.6666666667000001,1,0.2980441688,0.0,3
2592,0.08229630900000001,0.1069534454,1.0,1,0.0595896006,0.0440735453,2
2596,0.1616811398,0.12256923530000001,1.0,1,0.035811891900000004,0.0602466202,2
2597,0.0612977866,0.0651149096,1.0,1,0.2149176194,0.0,2
2598,0.0815540545,0.070713023,1.0,1,0.3518584652,0.0,2
2600,0.2664007157,0.1934786873,1.0,1,0.3079520989,0.0574968142,2
2601,0.0781805379,0.1868002402,1.0,0,0.0425718678,0.0,1
2606,0.0822255218,0.11107837300000001,1.0,1,0.35603652350000004,0.0,2
2609,0.0797530254,0.17737183380000002,1.0,1,0.12572141950000001,0.1631870922,2
2610,0.0792585261,0.16588096800000002,1.0,0,0.0309803861,0.0,1
2612,0.061476777100000005,0.0415439013,1.0,1,0.0772057365,0.0,2
2613,0.10114795630000001,0.1255156155,0.0,0,0.0,0.0,1
2614,0.0902669497,0.082498526,1.0,1,0.1115367137,0.0,2
2615,0.0816248417,0.070713023,1.0,1,0.3588101704,0.0,2
2618,0.0819656316,0.0888332356,1.0,0,0.07743773820000001,0.0,1
2622,0.0809634868,0.1822824604,1.0,1,0.2001971082,0.1282444357,2
2623,0.0830274399,0.0715969373,1.0,0,0.12373034540000001,0.0,1
2624,0.2622738209,0.1642113529,1.0,1,0.2174281763,0.06807446510000001,2
2626,0.0830992383,0.0966411299,1.0,1,0.034518783500000004,0.0,2
2629,0.2632142797,0.0651149063,0.6666666667000001,0,4.76094e-05,0.0874476627,1
2630,0.0825208056,0.0822038888,1.0,1,0.2070848213,0.0175144437,2
2631,0.08301631620000001,0.08927519240000001,1.0,1,0.3404890138,0.0,2
2633,0.08276047090000001,0.0839717158,0.6666666667000001,1,0.17235446370000002,0.0,3
2635,0.36457651900000004,0.131211941,1.0,1,0.022230314100000002,0.1699035173,2
2637,0.0834673319,0.1213906879,0.33333333330000003,1,0.07987315910000001,0.0,0
2638,0.0588659423,0.0677666465,0.6666666667000001,1,0.26086779520000003,0.0,3
2639,0.0614049786,0.0,1.0,1,0.046015288,0.0,2
2640,0.1606971975,0.12256923530000001,1.0,1,0.06960776810000001,0.1008230256,2
2641,0.0798056102,0.12472991350000001,0.6666666667000001,1,0.14204692730000001,0.0,3
2642,0.082805977,0.1518856815,1.0,1,0.2801045209,0.0206954039,2
2644,0.0810797801,0.0798467878,1.0,1,0.28938955510000003,0.0,2
2645,0.0618883542,0.0577489699,1.0,1,0.0285101052,0.0,2
2647,0.08287676420000001,0.102337458,1.0,1,0.194834544,0.0,2
2648,0.0834278933,0.1929876275,1.0,1,0.3592391796,0.0,2
2649,0.0827614822,0.13563150840000002,1.0,1,0.2619318975,0.045079571900000004,2
2654,0.2656887986,0.10980160900000001,1.0,1,0.17418916010000002,0.053894281,2
2655,0.0823984449,0.0862306022,1.0,1,0.2232265629,0.0,2
2656,0.1082226331,0.08691809040000001,1.0,1,0.2317253343,0.0,2
2658,0.2152498723,0.12364957800000001,0.6666666667000001,0,0.2514976269,0.1671441301,1
2663,0.11544394050000001,0.1246317001,0.6666666667000001,0,9.84094e-05,0.011976506900000001,1
2664,0.2746069767,0.1999116115,1.0,1,0.40463185500000004,0.0,2
2665,0.0812365233,0.0677666465,0.6666666667000001,1,0.2350160815,0.019900163800000002,3
2666,0.2617206694,0.1876841491,1.0,1,0.1958208734,0.0328347913,2
2668,0.2630706828,0.17501473080000002,1.0,1,0.2534151572,0.10492378150000001,2
2670,0.08206068870000001,0.15380081880000002,1.0,1,0.34057205360000004,0.0130400207,2
2671,0.2609056051,0.2857984637,1.0,1,0.2936237263,0.0861733623,2
2673,0.1608863005,0.1387743076,1.0,1,0.15686813530000002,0.005288825400000001,2
2677,0.2684929836,0.23747790500000002,1.0,1,0.2833483479,0.005729560900000001,2
2679,0.0925645006,0.0698291097,1.0,0,0.0370372038,0.2218432323,1
2680,0.08277867330000001,0.0574543308,1.0,1,0.1849585226,0.049793525000000005,2
2681,0.0794678541,0.2236299327,1.0,0,0.0054020837,0.0,1
2683,0.0595073756,0.0574543308,1.0,1,0.0409288425,0.0,2
2684,0.0808542723,0.15380081880000002,1.0,1,0.3472812798,0.12174837840000001,2
2689,0.26383720720000003,0.2030052995,1.0,1,0.232954599,0.033802493,2
2691,0.1624648554,0.1019446088,1.0,1,0.0942530308,0.08882735630000001,2
2692,0.2620199982,0.2018267555,1.0,1,0.3256977388,0.0,2
2694,0.0850539768,0.2044784915,1.0,1,0.1199514302,0.0209540964,2
2696,0.0635781462,0.0,1.0,1,0.3522968312,0.0,2
2698,0.0815085484,0.1997642922,1.0,1,0.2448372103,0.0158568951,2
2699,0.08082696860000001,0.0760164975,1.0,1,0.2678695674,0.0,2
2700,0.08990290120000001,0.0519544293,1.0,1,0.0498143574,0.0,2
2701,0.0846535234,0.1929876251,1.0,1,0.0802699982,0.274559025,2
2705,0.2655047518,0.11981928550000001,0.6666666667000001,0,0.0024697819,0.07137998100000001,1
2706,0.08134371530000001,0.1899430377,1.0,1,0.2902937843,0.1222178575,2
2707,0.25950098450000003,0.195050085,1.0,1,0.1628809806,0.0451083155,2
2709,0.0829141803,0.045079552,1.0,1,0.0686368967,0.0,2
2711,0.2118945582,0.1329797681,1.0,1,0.18184684650000002,0.1438713819,2
2714,0.0641495002,0.092810842,1.0,1,0.28577549680000003,0.017715649,2
2715,0.0620632998,0.0677666465,1.0,1,0.1983136805,0.0,2
2719,0.06505355410000001,0.0839717151,1.0,1,0.3019142804,0.0,2
2720,0.0638542164,0.0,1.0,1,0.30927417900000004,0.0,2
2721,0.0803213457,0.1506580249,1.0,0,0.0218307752,0.0,1
2723,0.16430228930000002,0.1296405414,1.0,1,0.2108964746,0.0374433511,2
2725,0.0842793624,0.1860145359,1.0,1,0.0616105401,0.11370974700000001,2
2726,0.36035153340000003,0.0763111365,1.0,1,0.060536387100000005,0.1989537324,2
2729,0.2632233809,0.12669416320000002,0.6666666667000001,0,0.007313826900000001,0.0927843941,1
2730,0.0818503496,0.1767825582,1.0,1,0.0744485755,0.0,2
2732,0.0845807137,0.0817128256,1.0,1,0.264649209,0.0,2
2733,0.1593572966,0.1060695345,1.0,1,0.12631574510000002,0.07068055300000001,2
2735,0.27000580760000004,0.2053624027,1.0,1,0.1092788178,0.0319916452,2
2736,0.06264476620000001,0.0,1.0,1,0.2912316225,0.0,2
2740,0.0912539258,0.0819092506,1.0,1,0.0677231142,0.0500809612,2
2742,0.2620978641,0.1938715396,1.0,1,0.266230562,0.0,2
2744,0.062493079300000004,0.1184443129,1.0,0,0.0052944927,0.0,1
2746,0.0783797534,0.24219210100000002,1.0,0,0.007088750400000001,0.0,1
2748,0.2112867994,0.1274798674,1.0,1,0.12190531660000001,0.1454522808,2
2749,0.0624758881,0.0,1.0,1,0.2886920052,0.0,2
2750,0.0829071016,0.1225692367,0.6666666667000001,1,0.0570556534,0.0,3
2751,0.1601571921,0.1258102528,1.0,1,0.20898822720000002,0.09547671290000001,2
2752,0.0637247769,0.0,1.0,1,0.1384894545,0.0,2
2753,0.26487980180000004,0.1431938684,0.6666666667000001,0,0.014519085800000001,0.0,1
